node,x,y,r,theta_deg,u_fem,u_exact,error
1,0.0,0.0,0.0,0.0,0.9876117846256778,1.0,-0.01238821537432222
2,1.0,0.0,1.0,0.0,0.7399641160691997,0.75,-0.010035883930800349
3,0.7071067811865476,0.7071067811865476,1.0,45.0,0.7399641160691997,0.75,-0.010035883930800349
4,0.5,0.0,0.5,0.0,0.9435538186369755,0.9375,0.0060538186369755165
5,0.9238795325112867,0.3826834323650898,1.0,22.500000000000004,0.7542895700543343,0.75,0.00428957005433428
6,0.3535533905932738,0.3535533905932738,0.5,45.0,0.9435538186369756,0.9375,0.0060538186369756275
7,2.0,0.0,2.0,0.0,0.0,0.0,0.0
8,1.4142135623730951,1.4142135623730951,2.0,45.0,0.0,0.0,0.0
9,1.5,0.0,1.5,0.0,0.437297070741863,0.4375,-0.0002029292581369746
10,1.8477590650225735,0.7653668647301796,2.0,22.500000000000004,0.0,0.0,0.0
11,1.0606601717798214,1.0606601717798214,1.5000000000000002,45.0,0.43729707074186264,0.4374999999999998,-0.00020292925813714113
12,1.38581929876693,0.5740251485476346,1.4999999999999998,22.500000000000004,0.4370776595737706,0.4375000000000001,-0.0004223404262295172
